objectid,parentid,filename,format,type,language,creator,rights,subject,class,title,address,tourSiteNumber,date,modified,hasStylePeriod,architect,location,latitude,longitude,imageSource,imageDate,imageRights,description,sameAs
coll001,,0100_combined.pdf,compound_object,Text,en,City of Bloomington,Division of Historic Preservation and Archaeology,West Side Historic District tour,Tour Brochure,A Walk Through the West Side Historic District,,,,,,,,,,,,,,
coll002,coll001,0101.jpg,image/jpg,Image;StillImage,,,,,[Industrial building](https://www.wikidata.org/wiki/Q1662011),Showers Brothers Co. Furniture Showroom,531 North Morton Street,1,1920,,,,West Side Historic District,39.17128872,-86.53644006,"Wikimedia Commons, User:Nyttend",2011-02-04,,"One of four remaining buildings from the Showers Brothers Company complex, the L shaped former showroom and research laboratory is constructed of variegated red brick. It displays a pilastered façade with simple limestone detailing, a raised rusticated basement, and a stepped parapet roof typical of commercial buildings of the period. The building immediately to the north (601 N. Morton, c. 1915) housed the company’s administrative offices. Although similar in appearance, it displays more ornate and classical limestone pilasters and parapet details.",
coll003,coll001,0102.jpg,image/jpg,Image;StillImage,,,,,Factory; City hall,Showers Brothers Co. Furniture Factory,401 North Morton Street,2,1910,1923,,,West Side Historic District,39.17033417,-86.53696377,"Wikimedia Commons, User:Nyttend",2011-02-04,,"With nearly 200,000 square feet, this is the largest remaining historic industrial building in the city. At the height of the company’s operation the complex consisted of two large factory buildings with over a dozen smaller supporting structures. Known as Plant No. 1, the factory was constructed in a polygonal plan to conform to the railroad tracks running on both its east and west sides. The red brick building displays a distinctive sawtooth roof with north-facing skylights and repetitive bays. A major rehabilitation project in 1994-1996 allowed its adaptive re-use as City Hall. Across the street at 416-420 N. Morton (c. 1927), is the Smallwood Pike building. It housed the Smallwood Restaurant (1927-28), Record Hatchery (1929-35), and Charles Pike Lumber Company (1930-56).",
coll004,coll001,0103.jpg,image/jpg,Image;StillImage,,,,,Railway station; Commercial building,Illinois Central Railroad Freight Depot ,301 North Morton Street,3,1906,,,,West Side Historic District,39.16884538,-86.53632805,"Wikimedia Commons, User:Nyttend",2010-08-30,,"To spur development in the area, local government provided an $85,000 subsidy for rail line construction along what is now Morton Street. The depot was built in the most architecturally functional way to serve the burgeoning limestone, furniture and lumber companies nearby. A second floor on the south side was added in 1922, but in 1959, fifty-four feet of freight space was demolished from the north side. In 1963 the building was removed from rail service. At 214 W. 7th is the 1922 Curry Buick Building, used as a Buick dealership until 1971. The building at 300 W. 7th (1915) originally housed Bloomington Wholesale Foods.",
coll005,coll001,0104.jpg,image/jpg,Image;StillImage,,,,,Factory,Johnson's Creamery,400 West 7th Street,4,1913,1925,,,West Side Historic District,39.16883898,-86.53765725,"Wikimedia Commons, User:Nyttend",2010-09-06,,"Ward and Ellis Johnson bought out the Bloomington Creamery in 1913. Shortly thereafter the oldest part of this brick factory building was built at the east end. By 1925 the space had quadrupled. The three-story, windowless, cork-lined icehouse was built during the rapid expansion of the 1920s. The newest part of the building dates from the 1950’s. Its adaptive re-use retained the 120 foot smokestack and two large compressors.",
coll006,coll001,0105.jpg,image/jpg,Image;StillImage,,,,,Church building,Bethel A.M.E. Church,302 North Rogers Street,5,1921,,Craftsman (style),John L. Nichols,West Side Historic District,39.1687985,-86.5383283,"Wikimedia Commons, User:Nyttend",2011-01-30,,"Bloomington’s first architect, John Nichols, designed this Arts and Crafts style limestone building for the second location of Bethel African Methodist Episcopal congregation, founded in 1870. Member Mattie Jacobs Fuller raised over $13,000 dollars toward the building fund by playing gospels hymns and spirituals on her portable organ every Saturday afternoon on the square. Pointed arch window openings, stained glass and multi-paned windows, and an ashlar limestone and pilastered façade distinguish this unique religious structure.",
coll007,coll001,0106.jpg,image/jpg,Image;StillImage,,,,,I-house,[no title],221 North Rogers Street,6,1860,,,,West Side Historic District,39.16844703,-86.53890463,"Wikimedia Commons, User:Nyttend",2010-09-29,,"This is one of the few mid-19th century frame houses remaining in Bloomington. It has served as a Civil War hospital, a nursing home, boarding house and possibly a roadhouse. An unusually long I-house with rear wing, gable-end chimney and stone foundation, it retains much of its original appearance despite the addition of aluminum siding.",
coll008,coll001,0107.jpg,image/jpg,Image;StillImage,,,,,I-house,John East House,417 West 6th Street,7,1863,,Federal; Greek Revival,,West Side Historic District,39.1674018,-86.5382385,"Wikimedia Commons, User:Nyttend",2011-01-31,,"Also known as Brakefield, this house was built as a parsonage for First Methodist Church. It was later owned by John R. East, lawyer, Civil War veteran and author of Captain Wallop and The Great Monon Express Robbery. This brick two-thirds I-house shows the beginning of the transitional building period on the west side. It features elaborate bracketing on the front porch and handsome glass-work around the front door.",
coll009,coll001,0108.jpg,image/jpg,Image;StillImage,,,,,Automobile repair shop; Commercial building,Bloomington Garage,316 West 6th Street,8,1925,,,,West Side Historic District,39.16783353,-86.53716121,"Wikimedia Commons, User:Nyttend",2011-01-29,,"This building was first used for car repair and service and later as a Chrysler Plymouth dealership. Its brick masonry, stepped parapet and open bowstring truss are typical period elements of auto-related architecture. To the east, at 300 W. 6th, was the site of Hays Market, a local grocery serving the west side from the 1940s until the late 1990s.",
coll010,coll001,0109.jpg,image/jpg,Image;StillImage,,,,,House,Batman House,403 West Kirkwood Avenue,9,1895,,Romanesque Revival; Queen Anne Revival,John L. Nichols,West Side Historic District,39.16636127,-86.53770427,"Wikimedia Commons, User:Nyttend",2011-02-04,,"Designed by Bloomington architect John Nichols, this mansion was built by John Waldron for his daughter at the corner of his tannery site. She married Judge Ira Batman, a prominent attorney, judge and First National Bank official. The house is the sole residential example of grand proportion use of limestone in the district. Its rich variety of textures and forms display elements of the Second Empire, Queen Anne and Romanesque Revival styles.",
